close,high,low,trade_count,open,volume,vwap
60.21,60.8,59.8,26691,60.8,1773367,60.190157
63.09,63.21,59.72,29570,60.17,2357952,62.048619
63.53,64.555,63.235,39324,63.57,3227789,63.722111
61.82,62.84,60.905,50231,62.3,6718604,61.834509
61.98,62.605,61.6,45436,61.7,4266559,62.071065
61.6,62.41,61.38,26758,62.41,2339558,61.766866
60.53,62.008,60.47,27557,61.7,2264810,61.087886
60.91,61.38,60.41,19429,60.84,1106419,60.837974
61.08,62.02,60.79,16588,61.01,1062197,61.249064
61.44,61.65,60.88,15966,60.97,951882,61.440462
61.36,61.6309,61.02,21403,61.43,1318585,61.314534
61.96,62.06,61.04,14579,61.04,937704,61.870418
61.72,61.86,61.14,22357,61.54,1485914,61.573145
63.74,63.84,61.39,29065,61.51,2187965,63.540019
64.29,64.64,62.9,32938,63.47,2511820,64.114382
62.89,64.635,62.815,29975,64.33,2351088,63.348903
62.07,62.85,61.66,44216,62.7,3340592,62.140888
62.87,62.88,61.83,26773,61.92,1806583,62.592306
58.0,59.78,57.96,72364,59.78,7426277,58.499553
58.36,58.49,57.13,42196,57.35,3414960,58.116106
57.12,58.23,56.3,35826,58.12,2717610,56.964091
56.88,57.66,56.63,29447,57.49,2195351,57.01286
56.24,56.91,55.97,29144,56.68,2617772,56.436071
54.76,56.36,54.55,35524,55.52,2880755,54.981845
54.0,54.83,53.55,38444,54.51,2993767,53.95774
53.41,54.07,53.01,55521,54.0,5158021,53.422705
52.78,54.01,52.63,39721,53.6,3718864,53.025309
52.88,53.44,52.09,44892,53.01,4203081,52.671857
53.16,53.56,52.86,54143,53.38,6364769,53.22441
54.86,55.06,53.87,47581,54.47,4503479,54.636834
55.12,56.135,54.77,50957,55.22,4415826,55.271352
55.16,55.56,54.51,30155,54.98,2756402,55.119586
54.81,55.415,54.66,38405,54.94,3605248,55.002463
54.22,55.48,54.06,36411,54.95,6070189,54.45801
55.96,55.97,53.92,32231,54.21,2422535,55.365873
55.2,55.885,54.31,34856,55.07,2443303,55.134377
53.69,54.68,53.65,27900,54.45,2224951,54.049089
53.74,54.005,53.47,32688,53.72,2942908,53.803419
53.79,53.965,53.01,30196,53.92,2379605,53.587123
54.07,54.11,52.71,36276,53.45,3148502,53.551865
54.98,55.27,53.755,43870,53.88,3498085,54.868341
55.47,55.94,54.85,28878,54.98,2375627,55.528869
54.5,55.84,53.76,43720,55.1,3391889,54.385076
57.06,58.85,56.0,93016,58.01,8427097,57.039151
58.62,59.43,57.515,62696,58.27,5745790,58.259018
58.87,58.965,57.6,43792,58.41,5241817,58.68167
57.52,59.55,57.51,37116,58.71,3555285,58.039268
58.42,59.36,57.53,37859,57.81,3286364,58.521825
58.11,58.6,57.36,36807,57.77,3568171,58.102627
58.87,59.33,57.87,26570,58.03,2184271,58.926525
57.64,58.835,57.425,23859,58.36,2045364,57.849662
59.27,59.48,57.885,33010,58.12,2677462,59.063989
58.61,59.23,58.206,26223,59.04,1741776,58.641472
58.7,59.19,58.24,41097,59.01,4728774,58.78646
58.41,59.03,57.53,34261,58.7,3089490,58.197256
58.91,59.25,56.76,31571,57.28,2789061,58.392995
58.14,59.73,58.11,32222,59.1,2516686,58.700469
58.5,58.96,57.93,28152,58.7,2078881,58.429519
59.42,59.7,58.7,25869,58.98,2297891,59.426786
60.08,60.38,59.15,26552,59.62,1874681,60.014474
60.65,60.78,60.08,33023,60.08,2871016,60.566536
59.81,60.68,59.26,26532,60.41,2028671,59.910566
59.14,60.47,58.66,39289,59.86,3252032,59.262522
59.06,59.13,57.76,37917,58.95,2950321,58.675691
58.92,59.52,58.5,24768,58.71,6062313,58.897247
58.96,59.37,58.42,21392,58.92,2246509,58.985345
58.8,59.385,58.47,24423,59.06,2784311,58.801811
59.21,59.66,58.44,23877,58.69,1955151,59.166899
57.89,59.5,57.87,28534,59.4,3736082,58.336583
57.89,58.5979,57.78,25632,58.4,2157059,58.002319
57.52,58.25,57.19,22316,57.89,1923841,57.506468
56.29,57.82,56.16,28317,57.49,2165646,56.541763
58.98,58.99,56.91,35032,56.91,2840904,58.494718
59.77,59.985,58.8,22759,59.27,1921036,59.677786
58.88,59.71,58.525,22097,59.71,1533062,58.845773
59.27,59.65,58.51,26457,58.56,1839477,59.230671
58.43,59.27,58.04,23492,59.18,1660808,58.442538
58.92,59.6,58.3,26378,59.43,1733571,58.936358
58.51,58.8488,58.06,20408,58.55,1426325,58.445746
59.47,59.61,58.58,22551,58.58,1654333,59.393755
59.96,60.44,59.43,25039,59.57,1862118,59.873256
59.07,59.39,58.28,31914,59.24,2344801,58.858833
59.15,59.66,58.54,19995,59.49,1310097,59.059843
